Date,Region,Sales Rep,Customer,Product,Sales
5/19/2004,South,Luke,Whole Foods,SBM Product,"₹9,114.37 "
5/18/2004,South,Rhonda,MrExcel.com,HQZ Product,"₹9,521.00 "
5/18/2004,South,T-Do,McLendon's Hardware,HQZ Product,"₹7,642.45 "
5/21/2004,South,Sandy,Nature Company,EGV Product,"₹1,613.46 "
5/22/2004,South,Olga,Nature Company,UWT Product,"₹9,015.26 "
5/22/2004,South,Sandy,Chevron,FLS Product,"₹4,721.31 "
5/26/2004,South,Olga,Office Depot,FLS Product,₹189.16 
5/26/2004,South,Yelena,Home Depot,FLS Product,"₹4,156.58 "
5/29/2004,South,Olga,Whole Foods,AHT Product,"₹4,862.07 "
5/29/2004,South,Olga,Amazon.com,FLS Product,"₹2,711.44 "
6/3/2004,South,Luke,Nature Company,UWT Product,"₹9,663.29 "
6/4/2004,South,T-Do,McLendon's Hardware,UWT Product,"₹9,221.00 "
6/5/2004,South,Scott,Google,HQZ Product,"₹5,254.02 "
6/5/2004,South,Stevie,Amazon.com,HQZ Product,"₹7,426.16 "
6/6/2004,South,Sandy,Amazon.com,JVI Product,"₹1,033.98 "
6/7/2004,South,Sean,MrExcel.com,UWT Product,"₹4,188.48 "
6/10/2004,South,Nicole,Google,LTX Product,"₹5,316.32 "
6/17/2004,South,Amy,Sherman Williams,AHT Product,"₹7,398.84 "
6/19/2004,South,Nicole,Amazon.com,AHT Product,"₹3,233.14 "
6/19/2004,South,Sirima,MrExcel.com,AHT Product,"₹9,282.02 "
6/20/2004,South,Stevie,Sherman Williams,LTX Product,"₹4,069.87 "
6/22/2004,South,Sunshine,McLendon's Hardware,SBM Product,"₹9,630.50 "
6/26/2004,South,Olga,MrExcel.com,UNQ Product,"₹3,728.56 "
6/26/2004,South,Jennifer,Office Depot,DVI Product,"₹8,155.38 "
6/28/2004,South,Dollie,Nature Company,LTX Product,"₹6,312.08 "
